Battery_ID,Cycle_Count,Voltage_V,Current_A,Temperature_C,SOC_percent,Capacity_Ah,Internal_Resistance_Ohm,Energy_Remaining_kWh,Power_kW,SOH_percent,Condition_Score,Battery_Condition,Second_Life_Status
EVB_0027,855,324.13,46.42,27.0,13.73,49.9,0.0723,2.22,15.05,83.16,90.43,Moderate,Suitable for evaluation
EVB_0028,435,376.41,20.46,23.45,96.69,54.46,0.0642,19.82,7.7,90.77,94.92,Healthy,Not yet
EVB_0029,1265,350.46,46.39,25.0,51.4,45.42,0.0945,8.18,16.26,75.7,83.37,Degraded,Suitable for evaluation
EVB_0030,1005,324.23,44.83,27.81,19.31,48.19,0.0783,3.02,14.53,80.31,88.07,Moderate,Suitable for evaluation
EVB_0031,326,342.71,45.0,45.71,37.53,55.39,0.0725,7.12,15.42,92.32,89.01,Healthy,Not yet
EVB_0032,1234,342.95,-11.69,28.42,44.27,44.08,0.0829,6.69,4.01,73.47,83.69,Degraded,Suitable for evaluation
EVB_0033,509,362.16,54.04,20.19,77.03,54.04,0.0639,15.08,19.57,90.07,94.54,Healthy,Not yet
EVB_0034,1387,360.08,36.26,30.33,75.63,43.76,0.0987,11.92,13.06,72.93,81.29,Degraded,Suitable for evaluation
EVB_0035,71,358.75,19.16,31.43,63.13,58.46,0.0507,13.24,6.87,97.44,98.59,Healthy,Not yet
EVB_0036,302,331.69,65.8,30.29,15.06,56.17,0.0654,2.81,21.82,93.62,96.49,Healthy,Not yet
EVB_0037,797,327.83,60.13,36.4,19.4,50.75,0.0803,3.23,19.71,84.58,89.31,Moderate,Suitable for evaluation
EVB_0038,906,329.69,43.44,30.55,13.91,48.03,0.0757,2.2,14.32,80.05,88.27,Moderate,Suitable for evaluation
EVB_0039,1634,352.53,23.08,36.15,59.83,39.89,0.1185,8.41,8.14,66.48,74.41,Critical,Consider second-life/replacement
EVB_0040,524,377.27,43.61,23.76,88.33,53.98,0.0699,17.99,16.45,89.96,94.48,Moderate,Suitable for evaluation
EVB_0041,1132,343.59,47.67,44.25,46.21,46.77,0.0896,7.43,16.38,77.96,79.71,Degraded,Suitable for evaluation
EVB_0042,560,330.9,65.2,32.02,20.28,54.81,0.0631,3.68,21.58,91.35,95.24,Healthy,Not yet
EVB_0043,1755,351.96,36.05,33.2,58.01,40.31,0.1048,8.23,12.69,67.19,77.31,Critical,Consider second-life/replacement
EVB_0044,1549,365.88,62.65,23.72,82.12,41.51,0.1018,12.47,22.92,69.19,78.81,Critical,Consider second-life/replacement
EVB_0045,749,367.55,32.22,33.77,75.46,50.67,0.0765,14.05,11.84,84.46,90.58,Moderate,Suitable for evaluation
EVB_0046,1025,365.47,16.13,35.21,88.74,48.34,0.0873,15.68,5.89,80.56,86.88,Moderate,Suitable for evaluation
EVB_0047,239,346.17,26.85,20.64,31.4,56.75,0.0468,6.17,9.29,94.59,97.02,Healthy,Not yet
EVB_0048,1007,334.23,47.07,16.73,23.43,47.38,0.0777,3.71,15.73,78.97,87.41,Degraded,Suitable for evaluation
EVB_0049,736,372.34,39.19,32.35,88.58,50.95,0.072,16.81,14.59,84.92,91.44,Moderate,Suitable for evaluation
EVB_0050,1007,357.3,48.81,26.09,67.47,47.61,0.073,11.48,17.44,79.36,88.25,Degraded,Suitable for evaluation
EVB_0051,612,337.13,45.23,32.08,34.54,52.94,0.0646,6.16,15.25,88.24,93.53,Moderate,Suitable for evaluation
EVB_0052,1640,363.99,59.53,19.67,75.52,39.9,0.1078,10.97,21.67,66.5,76.53,Critical,Consider second-life/replacement
EVB_0053,1317,370.29,36.41,17.52,82.44,44.26,0.0849,13.51,13.48,73.76,83.58,Degraded,Suitable for evaluation
EVB_0054,881,356.34,7.46,31.65,63.42,50.54,0.083,11.42,2.66,84.24,89.6,Moderate,Suitable for evaluation
EVB_0055,1578,362.35,40.38,27.2,70.35,41.15,0.1046,10.49,14.63,68.58,78.11,Critical,Consider second-life/replacement
EVB_0056,1204,339.02,10.0,13.11,40.65,46.61,0.086,6.42,3.39,77.69,85.6,Degraded,Suitable for evaluation
EVB_0057,1558,347.05,49.14,40.74,56.18,41.89,0.1055,8.17,17.06,69.81,75.21,Critical,Consider second-life/replacement
EVB_0058,696,357.47,63.45,19.54,54.8,52.06,0.0727,10.2,22.68,86.77,92.37,Moderate,Suitable for evaluation
EVB_0059,70,374.76,22.98,50.59,85.56,58.21,0.0608,18.67,8.61,97.02,89.01,Healthy,Not yet
EVB_0060,890,374.24,66.36,25.01,84.8,50.05,0.0732,15.88,24.83,83.41,90.45,Moderate,Suitable for evaluation
EVB_0061,216,369.09,56.08,33.21,84.1,57.23,0.055,17.77,20.7,95.39,97.46,Healthy,Not yet
EVB_0062,1347,317.09,71.99,43.18,6.05,43.47,0.0942,0.83,22.83,72.44,76.72,Degraded,Suitable for evaluation
EVB_0063,437,365.01,45.27,41.84,76.21,54.68,0.064,15.21,16.52,91.13,91.02,Healthy,Not yet
EVB_0064,650,363.51,23.88,45.89,77.07,51.71,0.0792,14.49,8.68,86.18,84.64,Moderate,Suitable for evaluation
EVB_0065,365,364.23,56.72,17.82,69.45,55.12,0.0597,13.94,20.66,91.86,95.52,Healthy,Not yet
EVB_0066,63,365.35,30.54,20.91,76.85,58.18,0.044,16.33,11.16,96.96,98.33,Healthy,Not yet
EVB_0067,291,368.45,42.92,31.81,84.99,57.18,0.0558,17.91,15.82,95.3,97.41,Healthy,Not yet
EVB_0068,826,348.9,41.95,36.72,49.68,50.41,0.0728,8.74,14.64,84.02,89.8,Moderate,Suitable for evaluation
EVB_0069,1419,344.69,64.92,29.91,52.69,41.77,0.0984,7.59,22.38,69.61,79.5,Critical,Consider second-life/replacement
EVB_0070,614,323.36,62.12,16.9,16.85,52.11,0.0674,2.84,20.09,86.85,92.77,Moderate,Suitable for evaluation
EVB_0071,947,343.51,44.56,33.97,41.61,48.76,0.0826,6.97,15.31,81.27,88.02,Moderate,Suitable for evaluation
EVB_0072,1413,351.66,7.94,28.45,66.12,43.35,0.0964,10.08,2.79,72.26,81.22,Degraded,Suitable for evaluation
EVB_0073,141,371.12,30.07,28.35,79.14,57.25,0.0502,16.81,11.16,95.41,97.47,Healthy,Not yet
EVB_0074,1440,327.54,60.6,11.78,25.63,42.66,0.0935,3.58,19.85,71.1,80.97,Degraded,Suitable for evaluation
EVB_0075,1005,321.63,53.87,36.38,18.09,48.26,0.0898,2.81,17.33,80.43,85.77,Moderate,Suitable for evaluation
EVB_0076,1528,356.84,15.78,31.16,67.99,41.42,0.1,10.05,5.63,69.03,78.96,Critical,Consider second-life/replacement
EVB_0077,1501,319.29,17.86,44.36,5.18,41.75,0.1084,0.69,5.7,69.58,72.54,Critical,Consider second-life/replacement
EVB_0078,558,333.56,51.89,29.4,21.95,52.96,0.0645,3.88,17.31,88.27,93.55,Moderate,Suitable for evaluation
EVB_0079,825,323.0,31.04,34.53,7.76,50.74,0.0774,1.27,10.03,84.56,90.52,Moderate,Suitable for evaluation
EVB_0080,84,329.65,31.2,36.65,20.85,58.36,0.0526,4.01,10.29,97.26,97.5,Healthy,Not yet
EVB_0081,255,335.3,60.44,16.03,22.23,56.14,0.0557,4.18,20.27,93.57,96.46,Healthy,Not yet
EVB_0082,1154,345.5,67.62,50.93,41.83,45.46,0.0984,6.57,23.36,75.76,73.32,Degraded,Suitable for evaluation
EVB_0083,1635,338.42,32.3,26.55,43.22,39.38,0.0988,5.76,10.93,65.63,77.26,Critical,Consider second-life/replacement
EVB_0084,1461,369.82,39.63,33.96,88.05,40.99,0.1015,13.35,14.66,68.32,78.37,Critical,Consider second-life/replacement
EVB_0085,1075,349.25,43.25,35.12,53.46,47.85,0.0861,8.93,15.1,79.76,86.64,Degraded,Suitable for evaluation
EVB_0086,1071,363.31,39.2,23.48,73.72,46.46,0.0864,12.44,14.24,77.43,85.4,Degraded,Suitable for evaluation
EVB_0087,1463,324.38,49.94,44.78,14.89,41.07,0.1097,1.98,16.2,68.45,71.49,Critical,Consider second-life/replacement
EVB_0088,615,334.48,61.45,32.13,26.42,52.05,0.066,4.6,20.55,86.75,92.71,Moderate,Suitable for evaluation
EVB_0089,1179,363.04,30.26,28.29,71.78,45.25,0.0886,11.79,10.98,75.42,84.01,Degraded,Suitable for evaluation
EVB_0090,1550,318.37,22.34,31.11,10.02,41.3,0.1049,1.32,7.11,68.83,78.2,Critical,Consider second-life/replacement
EVB_0091,752,351.87,75.27,36.11,51.23,50.16,0.078,9.04,26.49,83.6,89.25,Moderate,Suitable for evaluation
EVB_0092,451,360.62,63.18,30.09,61.94,54.94,0.0635,12.27,22.78,91.56,95.36,Healthy,Not yet
EVB_0093,779,361.28,23.67,37.06,62.2,51.01,0.0772,11.46,8.55,85.02,89.56,Moderate,Suitable for evaluation
EVB_0094,1629,313.28,52.58,16.52,7.18,39.56,0.106,0.89,16.47,65.93,76.46,Critical,Consider second-life/replacement
EVB_0095,211,341.04,64.92,24.02,35.6,57.04,0.0501,6.92,22.14,95.06,97.28,Healthy,Not yet
EVB_0096,251,354.09,56.63,12.89,65.47,56.62,0.0551,13.13,20.05,94.37,96.9,Healthy,Not yet
EVB_0097,1045,321.59,57.02,45.98,19.15,46.85,0.1046,2.89,18.34,78.08,76.74,Degraded,Suitable for evaluation
EVB_0098,319,363.69,39.41,45.87,71.06,56.44,0.071,14.59,14.33,94.07,90.08,Healthy,Not yet
EVB_0099,865,363.39,72.99,35.01,75.86,50.42,0.0776,13.9,26.52,84.03,90.19,Moderate,Suitable for evaluation
EVB_0100,1344,377.96,43.18,21.9,98.29,45.62,0.0903,16.95,16.32,76.04,84.11,Degraded,Suitable for evaluation
EVB_0101,505,335.55,38.74,49.12,24.93,51.72,0.0777,4.33,13.0,86.19,82.91,Moderate,Suitable for evaluation
EVB_0102,1535,370.99,56.67,25.16,83.39,40.93,0.1021,12.66,21.03,68.22,78.24,Critical,Consider second-life/replacement
EVB_0103,1800,348.66,46.2,28.29,54.43,39.67,0.1086,7.53,16.11,66.12,76.22,Critical,Consider second-life/replacement
EVB_0104,1325,350.04,52.44,31.28,40.48,42.84,0.0898,6.07,18.36,71.4,81.63,Degraded,Suitable for evaluation
EVB_0105,1066,328.18,52.66,33.61,16.63,48.46,0.0826,2.64,17.28,80.77,87.74,Moderate,Suitable for evaluation
EVB_0106,1775,366.77,50.96,35.15,74.87,38.8,0.1119,10.65,18.69,64.66,74.89,Critical,Consider second-life/replacement
EVB_0107,345,329.11,30.1,35.47,27.41,55.97,0.0616,5.05,9.91,93.28,96.02,Healthy,Not yet
EVB_0108,1798,343.78,20.05,28.84,40.29,37.53,0.1097,5.2,6.89,62.55,74.1,Critical,Consider second-life/replacement
EVB_0109,769,324.08,75.5,35.34,10.94,50.44,0.0799,1.79,24.47,84.07,89.72,Moderate,Suitable for evaluation
EVB_0110,387,363.44,45.76,28.49,81.13,56.58,0.0695,16.68,16.63,94.3,96.86,Healthy,Not yet
EVB_0111,928,366.88,55.54,34.63,77.83,48.83,0.0753,13.94,20.38,81.38,89.05,Moderate,Suitable for evaluation
EVB_0112,1126,362.17,10.36,33.98,74.69,46.18,0.0903,12.49,3.75,76.96,84.62,Degraded,Suitable for evaluation
EVB_0113,841,340.1,66.19,36.1,33.45,50.14,0.0797,5.7,22.51,83.57,89.01,Moderate,Suitable for evaluation
EVB_0114,266,335.7,39.04,35.1,21.48,56.67,0.051,4.09,13.1,94.45,96.88,Healthy,Not yet
EVB_0115,813,353.9,28.62,26.46,65.57,50.49,0.0785,11.71,10.13,84.14,90.15,Moderate,Suitable for evaluation
EVB_0116,237,354.81,43.6,33.67,52.14,56.56,0.0579,10.46,15.47,94.27,96.85,Healthy,Not yet
EVB_0117,429,332.48,30.76,35.23,21.93,54.79,0.0674,4.0,10.23,91.31,95.09,Healthy,Not yet
EVB_0118,542,366.08,42.55,19.67,70.16,53.05,0.0572,13.63,15.58,88.41,93.63,Moderate,Suitable for evaluation
EVB_0119,1114,377.67,36.65,27.81,99.16,45.37,0.0831,16.99,13.84,75.62,84.84,Degraded,Suitable for evaluation
EVB_0120,1230,362.16,60.97,34.86,75.99,45.58,0.0876,12.54,22.08,75.96,84.43,Degraded,Suitable for evaluation
EVB_0121,64,366.72,69.2,43.67,75.3,57.98,0.0668,16.01,25.38,96.63,92.94,Healthy,Not yet
EVB_0122,114,379.19,66.23,36.6,95.28,58.44,0.0588,21.12,25.11,97.41,97.61,Healthy,Not yet
EVB_0123,570,331.5,7.33,44.18,24.28,53.4,0.0736,4.3,2.43,88.99,87.96,Moderate,Suitable for evaluation
EVB_0124,1417,350.82,27.12,26.81,58.73,41.95,0.0884,8.64,9.51,69.91,80.99,Critical,Consider second-life/replacement
EVB_0125,1202,373.66,-1.72,32.0,98.07,46.0,0.0894,16.86,0.64,76.67,84.57,Degraded,Suitable for evaluation
EVB_0126,697,329.59,27.03,36.45,20.7,51.36,0.0789,3.5,8.91,85.6,90.02,Moderate,Suitable for evaluation
EVB_0127,1545,361.89,30.73,11.39,71.52,40.78,0.0921,10.56,11.12,67.97,79.43,Critical,Consider second-life/replacement
EVB_0128,1136,353.93,51.11,42.09,60.65,47.47,0.0907,10.19,18.09,79.11,81.5,Degraded,Suitable for evaluation
EVB_0129,1212,357.18,34.36,15.11,60.72,45.46,0.083,9.86,12.27,75.76,84.93,Degraded,Suitable for evaluation
EVB_0130,1572,359.07,33.59,37.98,71.28,40.6,0.1099,10.39,12.06,67.67,75.12,Critical,Consider second-life/replacement
EVB_0131,642,371.78,43.07,35.49,93.31,51.73,0.0704,17.95,16.01,86.21,92.07,Moderate,Suitable for evaluation
EVB_0132,441,369.81,10.71,11.28,79.35,55.32,0.0591,16.23,3.96,92.21,95.71,Healthy,Not yet
EVB_0133,1748,319.29,34.67,11.69,10.33,38.6,0.1069,1.27,11.07,64.33,75.46,Critical,Consider second-life/replacement
EVB_0134,468,371.37,31.61,41.46,86.01,54.62,0.067,17.45,11.74,91.04,91.2,Healthy,Not yet
EVB_0135,338,339.23,44.19,39.72,26.43,55.73,0.0588,5.0,14.99,92.88,93.26,Healthy,Not yet
EVB_0136,428,340.68,47.49,22.95,40.81,55.65,0.0655,7.74,16.18,92.74,96.01,Healthy,Not yet
EVB_0137,1563,346.25,72.15,22.94,48.86,40.51,0.1056,6.85,24.98,67.52,77.4,Critical,Consider second-life/replacement
EVB_0138,280,350.61,61.27,34.1,50.69,56.01,0.0588,9.95,21.48,93.35,96.34,Healthy,Not yet
EVB_0139,1067,347.78,31.59,29.9,46.34,47.0,0.0834,7.57,10.99,78.33,86.3,Degraded,Suitable for evaluation
EVB_0140,90,380.76,35.01,38.44,94.05,58.63,0.0599,20.99,13.33,97.71,96.68,Healthy,Not yet
EVB_0141,1101,362.32,36.42,33.84,72.07,46.54,0.0872,12.15,13.2,77.57,85.36,Degraded,Suitable for evaluation
EVB_0142,184,358.79,33.95,42.66,64.96,59.29,0.0599,13.82,12.18,98.82,94.75,Healthy,Not yet
EVB_0143,250,326.86,54.74,37.76,9.73,58.32,0.0601,1.86,17.89,97.2,96.8,Healthy,Not yet
EVB_0144,829,378.01,6.62,35.77,90.87,50.23,0.0842,17.25,2.5,83.71,88.69,Moderate,Suitable for evaluation
EVB_0145,979,373.79,55.89,27.18,91.39,48.54,0.0795,16.58,20.89,80.91,88.23,Moderate,Suitable for evaluation
EVB_0146,1106,365.08,71.99,26.6,79.12,46.56,0.081,13.45,26.28,77.6,86.21,Degraded,Suitable for evaluation
EVB_0147,1121,321.47,45.46,29.59,5.67,45.81,0.0848,0.83,14.61,76.36,85.02,Degraded,Suitable for evaluation
EVB_0148,552,325.08,44.54,44.73,10.44,52.81,0.0787,1.79,14.48,88.02,86.41,Moderate,Suitable for evaluation
EVB_0149,456,331.13,50.66,26.75,26.4,55.07,0.0631,4.81,16.78,91.78,95.48,Healthy,Not yet
EVB_0150,1647,326.76,67.25,32.08,17.48,41.15,0.1065,2.35,21.98,68.58,77.85,Critical,Consider second-life/replacement
EVB_0151,854,340.14,40.02,12.04,42.89,50.45,0.0716,7.36,13.61,84.08,91.03,Moderate,Suitable for evaluation
EVB_0152,148,378.27,56.69,35.41,92.65,57.15,0.0576,20.03,21.45,95.25,97.14,Healthy,Not yet
EVB_0153,733,346.46,53.81,48.06,49.85,50.41,0.0852,8.71,18.64,84.02,81.35,Moderate,Suitable for evaluation
EVB_0154,775,321.83,92.76,22.53,6.27,49.67,0.0693,1.0,29.85,82.79,90.53,Moderate,Suitable for evaluation
EVB_0155,1620,336.22,41.26,55.0,31.86,40.48,0.1247,4.34,13.87,67.46,62.81,Critical,Consider second-life/replacement
EVB_0156,1010,330.21,14.32,31.46,9.24,47.59,0.0797,1.45,4.73,79.32,87.33,Degraded,Suitable for evaluation
EVB_0157,662,325.63,24.19,10.0,8.45,52.02,0.0619,1.43,7.88,86.71,92.69,Moderate,Suitable for evaluation
EVB_0158,1535,338.98,47.47,26.92,31.19,41.92,0.0947,4.43,16.09,69.86,80.13,Critical,Consider second-life/replacement
EVB_0159,692,343.02,65.76,40.64,31.18,53.38,0.077,5.71,22.56,88.96,89.61,Moderate,Suitable for evaluation
EVB_0160,1078,367.85,29.68,45.99,79.78,46.76,0.0978,13.72,10.92,77.93,77.55,Degraded,Suitable for evaluation
EVB_0161,1291,377.65,35.13,35.74,97.61,44.31,0.0913,16.33,13.27,73.85,82.33,Degraded,Suitable for evaluation
EVB_0162,552,340.26,58.5,42.54,40.26,52.17,0.0734,7.15,19.9,86.95,87.84,Moderate,Suitable for evaluation
EVB_0163,816,345.71,28.14,20.58,45.74,51.23,0.0687,8.1,9.73,85.38,91.96,Moderate,Suitable for evaluation
EVB_0164,447,369.5,29.77,24.56,85.25,54.51,0.0646,17.17,11.0,90.85,94.97,Healthy,Not yet
EVB_0165,920,335.08,26.32,16.56,30.47,50.12,0.0841,5.12,8.82,83.53,89.07,Moderate,Suitable for evaluation
EVB_0166,844,335.54,69.83,25.16,19.86,50.65,0.081,3.37,23.43,84.41,89.96,Moderate,Suitable for evaluation
EVB_0167,442,372.51,68.42,36.1,86.04,54.32,0.0692,17.41,25.49,90.54,94.14,Healthy,Not yet
EVB_0168,256,322.59,21.44,31.7,9.42,55.95,0.0588,1.7,6.92,93.26,96.29,Healthy,Not yet
EVB_0169,1088,360.61,40.78,36.94,63.87,47.05,0.0803,10.84,14.7,78.41,85.58,Degraded,Suitable for evaluation
EVB_0170,1627,354.34,69.32,22.51,58.39,40.05,0.1027,8.29,24.56,66.74,77.35,Critical,Consider second-life/replacement
EVB_0171,941,343.82,53.63,23.0,37.86,48.74,0.076,6.34,18.44,81.23,88.88,Moderate,Suitable for evaluation
EVB_0172,1534,331.19,38.0,31.64,34.94,42.33,0.1035,4.9,12.59,70.54,79.33,Degraded,Suitable for evaluation
EVB_0173,1764,369.27,13.77,25.18,78.33,37.67,0.0966,10.9,5.08,62.79,75.99,Critical,Consider second-life/replacement
EVB_0174,1648,321.72,70.17,40.41,13.21,40.17,0.1118,1.71,22.57,66.94,73.0,Critical,Consider second-life/replacement
EVB_0175,913,336.79,54.19,24.98,27.49,49.58,0.0761,4.59,18.25,82.63,89.63,Moderate,Suitable for evaluation
EVB_0176,792,371.59,15.54,26.04,74.58,51.06,0.0772,14.15,5.77,85.1,90.85,Moderate,Suitable for evaluation
EVB_0177,1314,358.07,65.57,33.35,57.09,43.28,0.0999,8.85,23.48,72.13,80.69,Degraded,Suitable for evaluation
EVB_0178,613,326.02,20.13,26.89,17.16,52.94,0.0627,2.96,6.56,88.23,93.53,Moderate,Suitable for evaluation
EVB_0179,1070,367.66,36.37,20.12,88.8,48.0,0.0789,15.67,13.37,80.0,87.81,Moderate,Suitable for evaluation
EVB_0180,145,350.28,41.15,21.21,42.38,58.5,0.051,8.68,14.41,97.5,98.63,Healthy,Not yet
EVB_0181,534,370.84,70.09,34.3,83.65,53.51,0.0741,16.6,25.99,89.19,93.51,Moderate,Suitable for evaluation
EVB_0182,1480,363.7,36.72,19.13,79.83,43.04,0.097,12.5,13.36,71.73,80.85,Degraded,Suitable for evaluation
EVB_0183,280,361.05,38.52,41.18,64.32,55.88,0.0586,12.98,13.91,93.13,92.51,Healthy,Not yet
EVB_0184,798,349.49,20.23,24.48,51.98,49.35,0.0705,8.97,7.07,82.26,90.17,Moderate,Suitable for evaluation
EVB_0185,1728,377.87,27.71,34.93,98.06,39.12,0.1102,14.5,10.47,65.21,75.5,Critical,Consider second-life/replacement
EVB_0186,1244,328.26,34.04,24.96,18.77,45.45,0.0895,2.8,11.17,75.74,84.06,Degraded,Suitable for evaluation
EVB_0187,590,366.36,28.36,22.68,73.89,53.65,0.0628,14.52,10.39,89.41,94.18,Moderate,Suitable for evaluation
EVB_0188,1109,328.5,48.33,31.97,23.16,47.06,0.0829,3.58,15.88,78.44,86.42,Degraded,Suitable for evaluation
EVB_0189,574,345.73,2.73,38.41,37.13,53.54,0.0679,6.87,0.94,89.24,92.03,Moderate,Suitable for evaluation
EVB_0190,1233,339.83,19.7,28.02,34.33,45.94,0.0927,5.36,6.69,76.56,84.08,Degraded,Suitable for evaluation
EVB_0191,1772,375.65,37.61,29.48,94.97,38.5,0.1037,13.73,14.13,64.16,75.8,Critical,Consider second-life/replacement
EVB_0192,1316,372.93,41.55,36.46,96.9,44.04,0.0944,15.91,15.5,73.4,81.24,Degraded,Suitable for evaluation
EVB_0193,1159,335.65,44.11,36.72,22.39,46.92,0.089,3.53,14.81,78.19,84.44,Degraded,Suitable for evaluation
EVB_0194,627,322.63,49.41,29.69,7.09,51.63,0.0605,1.18,15.94,86.05,92.33,Moderate,Suitable for evaluation
EVB_0195,731,365.65,34.83,26.45,73.4,51.53,0.0671,13.83,12.73,85.88,92.23,Moderate,Suitable for evaluation
EVB_0196,606,345.08,45.3,30.66,44.71,52.23,0.0717,8.06,15.63,87.04,92.65,Moderate,Suitable for evaluation
EVB_0197,1647,324.32,57.2,28.47,13.44,41.01,0.0978,1.79,18.55,68.34,78.88,Critical,Consider second-life/replacement
EVB_0198,1062,361.23,50.29,32.5,69.96,47.24,0.0803,11.94,18.17,78.74,86.93,Degraded,Suitable for evaluation
EVB_0199,695,344.81,31.78,20.45,56.79,51.67,0.064,10.12,10.96,86.11,92.36,Moderate,Suitable for evaluation
EVB_0200,845,380.21,55.69,32.22,98.15,51.07,0.076,19.06,21.18,85.12,91.02,Moderate,Suitable for evaluation
EVB_0201,1101,339.24,50.64,24.25,26.6,46.03,0.0911,4.15,17.18,76.72,84.39,Degraded,Suitable for evaluation
EVB_0202,1693,343.58,67.97,37.25,43.38,39.73,0.1095,5.92,23.35,66.22,74.8,Critical,Consider second-life/replacement
EVB_0203,1629,347.45,70.01,24.62,56.54,40.33,0.1023,7.92,24.32,67.21,77.66,Critical,Consider second-life/replacement
EVB_0204,1413,367.59,15.41,24.76,80.21,43.42,0.0913,12.8,5.66,72.36,81.96,Degraded,Suitable for evaluation
EVB_0205,1404,354.54,28.68,33.56,57.14,44.5,0.0967,9.02,10.17,74.17,82.23,Degraded,Suitable for evaluation
EVB_0206,1713,355.75,58.06,30.11,63.23,39.02,0.11,8.78,20.65,65.03,75.44,Critical,Consider second-life/replacement
EVB_0207,1579,331.61,17.85,48.21,26.48,39.62,0.1154,3.48,5.92,66.03,67.34,Critical,Consider second-life/replacement
EVB_0208,1421,368.14,66.31,16.97,85.46,42.38,0.1033,13.33,24.41,70.64,79.41,Degraded,Suitable for evaluation
EVB_0209,1546,343.12,39.32,30.88,45.72,41.29,0.1049,6.48,13.49,68.81,78.2,Critical,Consider second-life/replacement
EVB_0210,1304,329.73,59.14,39.04,18.39,44.22,0.0975,2.68,19.5,73.69,79.44,Degraded,Suitable for evaluation
EVB_0211,239,357.43,40.73,25.37,68.1,57.21,0.0529,13.93,14.56,95.35,97.44,Healthy,Not yet
EVB_0212,1298,330.97,22.87,22.72,25.53,45.69,0.097,3.86,7.57,76.14,83.28,Degraded,Suitable for evaluation
EVB_0213,1458,329.41,68.29,23.03,14.27,43.64,0.0966,2.05,22.49,72.74,81.46,Degraded,Suitable for evaluation
EVB_0214,1450,374.57,90.09,17.1,86.89,43.51,0.1014,14.16,33.74,72.52,80.7,Degraded,Suitable for evaluation
